cell    bio_celltype
Cell1627	Ductal - MHC Class II
Cell1628	Ductal - CRISP3 high/centroacinar like
Cell1629	Cancer clone A
Cell163	Ductal - terminal ductal like
Cell1630	Ductal - APOL high/hypoxic
Cell1631	Ductal - CRISP3 high/centroacinar like
Cell1632	Ductal - APOL high/hypoxic
Cell1633	Ductal - terminal ductal like
Cell1634	Ductal - CRISP3 high/centroacinar like
Cell1635	Ductal - CRISP3 high/centroacinar like
Cell1636	Acinar cells
Cell1637	Ductal - APOL high/hypoxic
Cell1638	Ductal - CRISP3 high/centroacinar like
Cell1639	Ductal - MHC Class II
Cell164	Cancer clone B
Cell1640	Cancer clone B
Cell1641	Monocytes
Cell1642	T cells & NK cells
Cell1643	Monocytes
